,precision,recall,f1-score,support
clase_0,0.6612903225806451,0.6721311475409836,0.6666666666666666,61.0
clase_1,0.6666666666666666,0.6557377049180327,0.6611570247933884,61.0
clase_2,0.5862068965517241,0.576271186440678,0.5811965811965812,59.0
clase_3,0.6428571428571429,0.6,0.6206896551724138,60.0
clase_4,0.65,0.65,0.65,60.0
clase_5,0.578125,0.6271186440677966,0.6016260162601627,59.0
accuracy,0.6305555555555555,0.6305555555555555,0.6305555555555555,0.6305555555555555
macro avg,0.6308576714426964,0.6302097804945818,0.630222657348202,360.0
weighted avg,0.6313121855890731,0.6305555555555555,0.630625438164878,360.0
