accuracy,loss,val_accuracy,val_loss,learning_rate
0.3333333432674408,1.084179401397705,0.0,0.7664666175842285,0.0010000000474974513
0.5,0.7754172682762146,0.5,0.7226605415344238,0.0010000000474974513
0.4166666567325592,0.9629136919975281,0.5,0.6833341121673584,0.0010000000474974513
0.75,0.41926145553588867,1.0,0.6466596126556396,0.0010000000474974513
0.9166666865348816,0.26425158977508545,1.0,0.6118209362030029,0.0010000000474974513
1.0,0.16278716921806335,1.0,0.5777570009231567,0.0010000000474974513
0.9166666865348816,0.18191947042942047,1.0,0.5449374914169312,0.0010000000474974513
1.0,0.12283245474100113,1.0,0.5148271918296814,0.0010000000474974513
1.0,0.14330823719501495,1.0,0.4874182343482971,0.0010000000474974513
1.0,0.040554143488407135,1.0,0.4626513719558716,0.0010000000474974513
1.0,0.04053512588143349,1.0,0.4399247169494629,0.0010000000474974513
1.0,0.02755509503185749,1.0,0.4219319224357605,0.0010000000474974513
1.0,0.02702370099723339,1.0,0.40596646070480347,0.0010000000474974513
1.0,0.04160791635513306,1.0,0.3913768529891968,0.0010000000474974513
1.0,0.014278486371040344,1.0,0.37757614254951477,0.0010000000474974513
1.0,0.02464592456817627,1.0,0.36432212591171265,0.0010000000474974513
1.0,0.016482284292578697,1.0,0.3515147864818573,0.0010000000474974513
1.0,0.009675674140453339,1.0,0.3407992124557495,0.0010000000474974513
1.0,0.011851988732814789,1.0,0.3307112455368042,0.0010000000474974513
1.0,0.010265721939504147,1.0,0.32233989238739014,0.0010000000474974513
1.0,0.009503215551376343,1.0,0.31362536549568176,0.0010000000474974513
1.0,0.010875407606363297,1.0,0.30589139461517334,0.0010000000474974513
1.0,0.02065221779048443,1.0,0.2992602288722992,0.0010000000474974513
1.0,0.009112808853387833,1.0,0.2920306324958801,0.0010000000474974513
1.0,0.00845253374427557,1.0,0.2851349115371704,0.0010000000474974513
1.0,0.019042806699872017,1.0,0.27879929542541504,0.0010000000474974513
1.0,0.008027922362089157,1.0,0.2725639045238495,0.0010000000474974513
1.0,0.005850540939718485,1.0,0.2666255235671997,0.0010000000474974513
1.0,0.011353337205946445,1.0,0.2618871033191681,0.0010000000474974513
1.0,0.009807193651795387,1.0,0.25716108083724976,0.0010000000474974513
1.0,0.00648705055937171,1.0,0.2526471018791199,0.0010000000474974513
1.0,0.012876447290182114,1.0,0.24783766269683838,0.0010000000474974513
1.0,0.003863980993628502,1.0,0.243021160364151,0.0010000000474974513
1.0,0.00422118604183197,1.0,0.23892252147197723,0.0010000000474974513
1.0,0.007283566985279322,1.0,0.23434153199195862,0.0010000000474974513
1.0,0.00482633151113987,1.0,0.2304292768239975,0.0010000000474974513
1.0,0.006813704501837492,1.0,0.22681432962417603,0.0010000000474974513
1.0,0.0036585258785635233,1.0,0.22265928983688354,0.0010000000474974513
1.0,0.004651379771530628,1.0,0.21940867602825165,0.0010000000474974513
1.0,0.005374463740736246,1.0,0.21651533246040344,0.0010000000474974513
1.0,0.0038965176790952682,1.0,0.21322010457515717,0.0010000000474974513
1.0,0.0038255180697888136,1.0,0.21039153635501862,0.0010000000474974513
1.0,0.005169899668544531,1.0,0.2072836458683014,0.0010000000474974513
1.0,0.005662819370627403,1.0,0.20435212552547455,0.0010000000474974513
1.0,0.0050146677531301975,1.0,0.2015690803527832,0.0010000000474974513
1.0,0.0025094952434301376,1.0,0.1985670030117035,0.0010000000474974513
1.0,0.002725722501054406,1.0,0.1959497332572937,0.0010000000474974513
1.0,0.0037746948655694723,1.0,0.19308850169181824,0.0010000000474974513
1.0,0.004806019365787506,1.0,0.19072628021240234,0.0010000000474974513
1.0,0.0028735531959682703,1.0,0.1883975714445114,0.0010000000474974513
1.0,0.00568748265504837,1.0,0.18593671917915344,0.0010000000474974513
1.0,0.0023494253400713205,1.0,0.18337181210517883,0.0010000000474974513
1.0,0.008971474133431911,1.0,0.18117760121822357,0.0010000000474974513
1.0,0.0027810849715024233,1.0,0.17884740233421326,0.0010000000474974513
1.0,0.0019797533750534058,1.0,0.1769629567861557,0.0010000000474974513
1.0,0.002548058982938528,1.0,0.1744866520166397,0.0010000000474974513
1.0,0.002986583160236478,1.0,0.17231664061546326,0.0010000000474974513
1.0,0.0025559249334037304,1.0,0.1702677607536316,0.0010000000474974513
1.0,0.0034829832147806883,1.0,0.16816934943199158,0.0010000000474974513
1.0,0.0029911354649811983,1.0,0.1661922037601471,0.0010000000474974513
1.0,0.0036103324964642525,1.0,0.16424697637557983,0.0010000000474974513
1.0,0.003427390707656741,1.0,0.16214415431022644,0.0010000000474974513
1.0,0.0028171974699944258,1.0,0.16024869680404663,0.0010000000474974513
1.0,0.0028946336824446917,1.0,0.1583857536315918,0.0010000000474974513
1.0,0.0026211701333522797,1.0,0.15640562772750854,0.0010000000474974513
1.0,0.0018107477808371186,1.0,0.15448343753814697,0.0010000000474974513
1.0,0.002588078146800399,1.0,0.15305131673812866,0.0010000000474974513
1.0,0.002031977055594325,1.0,0.15117833018302917,0.0010000000474974513
1.0,0.004623071756213903,1.0,0.14967229962348938,0.0010000000474974513
1.0,0.0027916354592889547,1.0,0.1477058082818985,0.0010000000474974513
1.0,0.00204014522023499,1.0,0.1459001898765564,0.0010000000474974513
1.0,0.004614312667399645,1.0,0.14427217841148376,0.0010000000474974513
1.0,0.002235413296148181,1.0,0.14252793788909912,0.0010000000474974513
1.0,0.0026936575304716825,1.0,0.1403842717409134,0.0010000000474974513
1.0,0.0020940995309501886,1.0,0.13873407244682312,0.0010000000474974513
1.0,0.0018709325231611729,1.0,0.13701722025871277,0.0010000000474974513
1.0,0.0024635724257677794,1.0,0.1352006494998932,0.0010000000474974513
1.0,0.002359855454415083,1.0,0.13352108001708984,0.0010000000474974513
1.0,0.0023885490372776985,1.0,0.13202062249183655,0.0010000000474974513
1.0,0.0016551482258364558,1.0,0.1305290162563324,0.0010000000474974513
1.0,0.00460376963019371,1.0,0.12894730269908905,0.0010000000474974513
1.0,0.0020706679206341505,1.0,0.1272050440311432,0.0010000000474974513
1.0,0.0019075111486017704,1.0,0.12576480209827423,0.0010000000474974513
1.0,0.0017556091770529747,1.0,0.12439116835594177,0.0010000000474974513
1.0,0.002497919136658311,1.0,0.12293095886707306,0.0010000000474974513
1.0,0.0021936476696282625,1.0,0.12121564894914627,0.0010000000474974513
1.0,0.0015894640237092972,1.0,0.11977919191122055,0.0010000000474974513
1.0,0.0020652529783546925,1.0,0.11832176148891449,0.0010000000474974513
1.0,0.0015554331475868821,1.0,0.11693770438432693,0.0010000000474974513
1.0,0.0015523141482844949,1.0,0.11566542834043503,0.0010000000474974513
1.0,0.001492127194069326,1.0,0.11403486877679825,0.0010000000474974513
1.0,0.003470594761893153,1.0,0.11256010830402374,0.0010000000474974513
1.0,0.0022899643518030643,1.0,0.11080104857683182,0.0010000000474974513
1.0,0.0011483522830531001,1.0,0.10923919826745987,0.0010000000474974513
1.0,0.0027407382149249315,1.0,0.10779539495706558,0.0010000000474974513
